2025-05-19 06:11:13,23,red
2025-05-19 06:11:13,11,black
2025-05-19 06:11:13,2,black
2025-05-19 06:11:13,6,black
2025-05-19 06:11:13,12,red
2025-05-19 06:11:13,32,red
2025-05-19 06:11:13,8,black
2025-05-19 06:11:13,12,red
2025-05-19 06:11:13,35,black
2025-05-19 06:11:13,5,red
2025-05-19 06:11:13,21,red
2025-05-19 06:11:13,31,black
2025-05-19 06:11:13,21,red
2025-05-19 06:11:13,8,black
2025-05-19 06:11:13,7,red
2025-05-19 06:11:13,9,red
2025-05-19 06:11:13,3,red
2025-05-19 06:11:13,20,black
2025-05-19 06:11:13,26,black
2025-05-19 06:11:13,28,black
2025-05-19 06:12:59,11,black
2025-05-19 06:12:59,5,red
2025-05-19 06:12:59,23,red
2025-05-19 06:12:59,11,black
2025-05-19 06:12:59,2,black
2025-05-19 06:12:59,6,black
2025-05-19 06:12:59,12,red
2025-05-19 06:12:59,32,red
2025-05-19 06:12:59,8,black
2025-05-19 06:12:59,12,red
2025-05-19 06:12:59,35,black
2025-05-19 06:12:59,5,red
2025-05-19 06:12:59,21,red
2025-05-19 06:12:59,31,black
2025-05-19 06:12:59,21,red
2025-05-19 06:12:59,8,black
2025-05-19 06:12:59,7,red
2025-05-19 06:12:59,9,red
2025-05-19 06:12:59,3,red
2025-05-19 06:12:59,20,black
2025-05-19 06:14:43,32,red
2025-05-19 06:14:43,10,black
2025-05-19 06:14:43,11,black
2025-05-19 06:14:43,5,red
2025-05-19 06:14:43,23,red
2025-05-19 06:14:43,11,black
2025-05-19 06:14:43,2,black
2025-05-19 06:14:43,6,black
2025-05-19 06:14:43,12,red
2025-05-19 06:14:43,32,red
2025-05-19 06:14:43,8,black
2025-05-19 06:14:43,12,red
2025-05-19 06:14:43,35,black
2025-05-19 06:14:43,5,red
2025-05-19 06:14:43,21,red
2025-05-19 06:14:43,31,black
2025-05-19 06:14:43,21,red
2025-05-19 06:14:43,8,black
2025-05-19 06:14:43,7,red
2025-05-19 06:14:43,9,red
2025-05-19 06:16:30,30,red
2025-05-19 06:16:30,22,black
2025-05-19 06:16:30,9,red
2025-05-19 06:16:30,32,red
2025-05-19 06:16:30,10,black
2025-05-19 06:16:30,11,black
2025-05-19 06:16:30,5,red
2025-05-19 06:16:30,23,red
2025-05-19 06:16:30,11,black
2025-05-19 06:16:30,2,black
2025-05-19 06:16:30,6,black
2025-05-19 06:16:30,12,red
2025-05-19 06:16:30,32,red
2025-05-19 06:16:30,8,black
2025-05-19 06:16:30,12,red
2025-05-19 06:16:30,35,black
2025-05-19 06:16:30,5,red
2025-05-19 06:16:30,21,red
2025-05-19 06:16:30,31,black
2025-05-19 06:16:30,21,red
